date_disclosed,country,ifc_country_code,sector,project_name,project_number,company_name,status,ifc_investment_for_risk_management_million_usd,ifc_investment_for_guarantee_million_usd,ifc_investment_for_loan_million_usd,ifc_investment_for_equity_million_usd,total_ifc_investment_as_approved_by_board_million_usd
23.08.16,India,IND,Infrastructure,HFE Equity,37910,HERO FUTURE ENERGIES PRIVATE LIMITED,Active,NA,NA,NA,62.5,62.5
19.08.16,Mexico,MXC,"Tourism, Retail, and Property",Vinte-NuEDGE,38374,"Promotora de Viviendas Integrales, S.A. de C.V.",Active,NA,NA,18.62,NA,18.62
18.08.16,World Region,WLD,Manufacturing,Yara Corporate,38320,Yara International ASA,Active,NA,NA,150,NA,150
18.08.16,Mexico,MXC,"Oil, Gas, and Mining",CalidraArgentina,38366,"Grupo Calidra, S.A. de C.V.",Completed,NA,NA,31.43,NA,31.43
17.08.16,Turkey,TUR,Financial Institutions,DCM Seker CB 2,38428,SEKERBANK TAS,Active,NA,NA,60,NA,60
16.08.16,China,CHA,Agribusiness and Forestry,Anyou II,36905,"Anyou Biotechnology Group Co.,Ltd.",Active,NA,NA,38.39,NA,38.39
15.08.16,China,CHA,Funds,Hosen Investment Fund III,38599,"HOSEN INVESTMENT FUND III, L.P.",Active,NA,NA,NA,30,30
15.08.16,China,CHA,Funds,Long Hill,38790,"LONG HILL CAPITAL VENTURE PARTNERS 1, L.P.",Active,NA,NA,NA,15,15
12.08.16,Latin America Region,LAC,Health and Education,SeniorAssist LAC,38334,SENIORITY CHILE SA,Active,NA,NA,NA,10,10
12.08.16,United Arab Emirates,UAE,Financial Institutions,Network Intl,38399,WP MERCURY HOLDINGS B.V.,Active,NA,NA,NA,17,17
08.08.16,Uzbekistan,UZB,Financial Institutions,ULI SME 2016,37749,JOINT-STOCK COMPANY UZBEK LEASING INTERNATIONAL AO,Active,NA,NA,5,NA,5
05.08.16,Turkey,TUR,Manufacturing,Martur,38025,MARTUR SUNGER VE KOLTUK TESISLERI TICARET VE SANAYI ANONIM SIRKETI,Active,NA,NA,NA,32.86,32.86
01.08.16,Belarus,BLR,"Tourism, Retail, and Property",Eurotorg,35769,Evrotorg OOO,Completed,NA,NA,NA,NA,NA
01.08.16,World Region,WLD,Financial Institutions,GTLP SCB III,38705,STANDARD CHARTERED PLC,Active,NA,NA,500,NA,500
28.07.16,Georgia,GEO,Financial Institutions,BGEO Bonds,38541,GEORGIA CAPITAL PLC,Active,NA,NA,70,NA,70
22.07.16,World Region,WLD,Financial Institutions,Remitly,36516,"Remitly, Inc.",Completed,NA,NA,NA,5,5
22.07.16,India,IND,Health and Education,Byju's,38562,THINK & LEARN PRIVATE LIMITED,Active,NA,NA,NA,15,15
18.07.16,Botswana,BOT,Financial Institutions,Botswana Building Society,35107,Botswana Building Society,Active,NA,NA,25,15,40
15.07.16,Jordan,JOR,Infrastructure,ACWA Power Zarqa Thermal Power Station,38207,MAHATAT AL ZARQA LE TAWLEED AL TAKAH AL KAHRABAIEYAH,Active,6,NA,75,NA,81
15.07.16,World Region,WLD,Funds,Capria Acc. Fund,38604,"CAPRIA ACELARATOR FUND, LP.",Completed,NA,NA,NA,250,250
13.07.16,Latin America Region,LAC,Funds,Certo S.A.,38523,CERTO S.A.,Active,NA,NA,NA,30,30
08.07.16,Argentina,ARG,"Telecommunications, Media, and Technology",Telecom Personal Argentina,36171,TELECOM ARGENTINA S.A.,Active,NA,NA,100,NA,100
08.07.16,China,CHA,Health and Education,Essex Bio,38104,ESSEX BIO-TECHNOLOGY LIMITED,Active,NA,NA,19.31,NA,19.31
07.07.16,Mexico,MXC,Agribusiness and Forestry,Bioparques 3,37826,"Bioparques de Occidente, S.A. de C.V.",Active,NA,NA,10,NA,10
01.07.16,Ghana,GHA,Financial Institutions,Fidelity A Loan,37327,Fidelity Bank Ghana Limited,Completed,NA,NA,NA,NA,NA
30.06.16,China,CHA,Agribusiness and Forestry,Muyuan Loan 3,38272,"MUYUAN FOOD CO., LTD.",Pending Approval,NA,NA,39.14,NA,39.14
29.06.16,Pakistan,PAK,Agribusiness and Forestry,CCI Pakistan,37922,COCA COLA BEVERAGES PAKISTAN LIMITED,Active,NA,NA,83.57,NA,83.57
29.06.16,Central America Region,XCN,"Tourism, Retail, and Property",ISCH III,38164,"INTERNATIONAL SHOPPING CENTERS HOLDINGS, INC-ISC",Active,NA,NA,45,NA,45
27.06.16,Turkey,TUR,Agribusiness and Forestry,Odeabank Equity,37925,ODEA BANK ANONIM SIRKETI,Active,NA,NA,NA,75,75
24.06.16,Armenia,ARM,Infrastructure,Vorotan Debt,37652,CONTOURGLOBAL HYDRO CASCADE CJSC,Active,2.9,NA,50,NA,52.9
17.06.16,Singapore,SNG,Financial Institutions,United Asia Loan Funding,36792,UOB ASSET MANAGEMENT LTD,Pending Approval,NA,NA,NA,NA,NA
15.06.16,India,IND,Health and Education,Glenmark,38371,GLENMARK PHARMACEUTICALS LIMITED,Active,NA,NA,75,NA,75
09.06.16,Latin America Region,LAC,Financial Institutions,LAAD IV,37802,LATIN AMERICAN AGRIBUSINESS DEVELOPMENT CORP SA,Active,NA,NA,50,NA,50
09.06.16,Kenya,KEN,Financial Institutions,Equity Bank II,38419,EQUITY GROUP HOLDINGS PLC,Active,NA,NA,82.5,NA,82.5
06.06.16,Pakistan,PAK,Funds,Abraaj Pakistan,37484,ABRAAJ PAKISTAN FUND I L.P.,Active,NA,NA,NA,20,20
03.06.16,India,IND,"Tourism, Retail, and Property",FCEL,37943,FUTURE CONSUMER LIMITED,Active,NA,NA,0,19.92,19.92
02.06.16,Turkey,TUR,Infrastructure,Akfen Energy,36772,AKFEN YENILENEBILIR ENERJI A.S.,Active,NA,NA,NA,100,100
02.06.16,"Egypt, Arab Republic of",EGT,Funds,Algebra Ventures Fund I,37639,ALGEBRA VENTURES,Active,NA,NA,NA,10,10
02.06.16,Costa Rica,COS,Financial Institutions,Davivienda CR II,38501,Banco Davivienda (Costa Rica) S.A.,Active,NA,NA,30,NA,30
01.06.16,Vietnam,VNM,Agribusiness and Forestry,Bel Ga JSC,38011,BEL GA JSC,Active,NA,NA,4,NA,4
01.06.16,Thailand,THL,Financial Institutions,TMB SF,38574,TMB BANK PUBLIC COMPANY LIMITED,Hold,NA,NA,NA,NA,NA
27.05.16,Bangladesh,BAN,Infrastructure,Summit Mezzanine,37593,SUMMIT POWER INTERNATIONAL PTE LTD,Active,NA,NA,65,0,65
24.05.16,South Africa,SOU,Health and Education,Ascendis,38257,ASCENDIS HEALTH LIMITED,Active,NA,NA,NA,30,30
19.05.16,India,IND,Health and Education,Apollo Specialty,37895,APOLLO HEALTH AND LIFESTYLE LIMITED,Active,NA,NA,NA,33.34,33.34
17.05.16,Brazil,BRA,Agribusiness and Forestry,Cerradinho Bio,35523,CERRADINHO BIOENERGIA SA,Active,NA,NA,49,NA,49
