date_disclosed,country,ifc_country_code,sector,project_name,project_number,company_name,status,ifc_investment_for_risk_management_million_usd,ifc_investment_for_guarantee_million_usd,ifc_investment_for_loan_million_usd,ifc_investment_for_equity_million_usd,total_ifc_investment_as_approved_by_board_million_usd
26.12.18,Morocco,MYC,Health and Education,UPM Maroc,40754,UPM PEDAGOGIQUE,Pending Approval,NA,NA,15.71,NA,15.71
20.12.18,Burkina Faso,BUR,Agribusiness and Forestry,GWFP SOFITEX 5,42144,GWFP BURKINA FASO COTTON,Completed,NA,50,150,NA,200
18.12.18,Mexico,MXC,Agribusiness and Forestry,Biopappel,41357,"Bio Pappel, S.A.B. de C.V.",Pending Approval,NA,NA,40,NA,40
14.12.18,China,CHA,Financial Institutions,JFLC Green Financing Package,41668,"JIANGSU FINANCIAL LEASING CO., LTD.",Active,6,NA,219.28,NA,225.28
14.12.18,Brazil,BRA,Funds,"Vinci Capital Partners III, LLC",40696,"VINCI CAPITAL PARTNERS III, LLC",Active,NA,NA,NA,15,15
10.12.18,Ethiopia,ETH,Agribusiness and Forestry,Habesha,41561,HABESHA BREWERIES SHARE COMPANY,Pending Approval,NA,NA,33.67,NA,33.67
07.12.18,Argentina,ARG,"Telecommunications, Media, and Technology",Telecom Argentina II,40857,TELECOM ARGENTINA S.A.,Active,NA,NA,110,NA,110
04.12.18,Serbia,SRB,Infrastructure,Belgrade WtE,37838,BEO CISTA ENERGIJA D.O.O,Pending Approval,10,NA,85.57,NA,95.57
04.12.18,China,CHA,Health and Education,Zhangmen Education,42177,"SHANGHAI ZHANGMEN EDUCATION TECHNOLOGY CO., LTD.",Active,NA,NA,NA,20,20
04.12.18,World Region,WLD,Funds,RA Energy II,41689,"RESPONSABILITY ACCESS TO CLEAN POWER FUND S.A., SICAF SIF",Pending Approval,NA,NA,30,NA,30
30.11.18,Argentina,ARG,Infrastructure,La Genoveva,41190,VIENTOS LA GENOVEVA S.A.U.,Pending Approval,NA,NA,30,NA,30
29.11.18,Costa Rica,COS,Financial Institutions,Davivienda CR GB,40189,Banco Davivienda (Costa Rica) S.A.,Active,NA,NA,60,NA,60
29.11.18,China,CHA,other,ZH United Lab,40467,THE UNITED LABORATORIES INTERNATIONAL HOLDINGS LIMITED,Completed,NA,NA,NA,NA,NA
29.11.18,Western Africa Region,WAN,other,Ariel Foods Nigeria,41665,SKEYA INVESTMENTS (MAURITIUS) LIMITED,Pending Approval,NA,NA,8,NA,8
21.11.18,Tunisia,TUN,Funds,ISC-Flat6Labs Tunis,41699,ANAVA SEED FUND,Pending Approval,NA,NA,NA,30,30
16.11.18,China,CHA,Financial Institutions,Sumscope,41497,SUMSCOPE INC.,Active,NA,NA,NA,15,15
16.11.18,Mexico,MXC,other,Siegfried,42036,"SIEGFRIED RHEIN, S.A. DE C.V.",Active,NA,NA,75,NA,75
16.11.18,Colombia,CLM,Agribusiness and Forestry,Sinu,41152,REFORESTADORA DEL SINU SUCURSAL COLOMBIA,Active,NA,NA,15,NA,15
15.11.18,Ecuador,ECU,Financial Institutions,Internac Loan II,41844,Banco Internacional S.A.,Active,NA,NA,38.5,NA,38.5
15.11.18,Mongolia,MNG,Financial Institutions,Xac Subdebt,41748,XACBANK LLC,Active,NA,NA,5,NA,5
13.11.18,Brazil,BRA,"Telecommunications, Media, and Technology",Cabo Telecom III,41688,Cabo Servicos de Telecomunicacoes Ltda,Pending Approval,NA,NA,32.06,NA,32.06
12.11.18,World Region,WLD,Financial Institutions,GWFP Phoenix/BNP,41405,PHOENIX GLOBAL DMCC,Active,NA,50,150,NA,200
09.11.18,Colombia,CLM,"Tourism, Retail, and Property",Ara Tiendas I,40643,JERONIMO MARTINS COLOMBIA S A S,Active,NA,NA,93,NA,93
07.11.18,Georgia,GEO,Financial Institutions,Isbank GEO SME,40613,ISBANK GEORGIA JSC,Pending Approval,NA,NA,10,NA,10
07.11.18,Ecuador,ECU,Financial Institutions,PichinchaGBandSD,41625,Banco Pichincha CA,Active,NA,NA,90,NA,90
05.11.18,India,IND,Financial Institutions,UjjivanSFB Tier2,41078,UJJIVAN SMALL FINANCE BANK,Pending Approval,NA,NA,50.65,NA,50.65
05.11.18,Romania,ROM,Financial Institutions,Agricover SME,41560,AGRICOVER CREDIT IFN SA,Active,NA,NA,9.82,NA,9.82
05.11.18,Mexico,MXC,Financial Institutions,DCM CRT Santander,39976,RSF Santander Mexico,Active,NA,111.66,NA,NA,111.66
02.11.18,Mexico,MXC,Infrastructure,"FRV Potrero Solar, S. de R.L. de C.V.",41297,FRV POTRERO SOLAR S. DE R.L. DE C.V.,Active,2,NA,15,NA,17
31.10.18,Africa Region,AFR,Funds,Africa Dvpt III,41790,AFRICAN DEVELOPMENT PARTNERS III LP,Active,NA,NA,NA,20,20
30.10.18,Georgia,GEO,Financial Institutions,Bank of Georgia SME Loan,40689,JSC BANK OF GEORGIA,Pending Approval,NA,NA,74.63,NA,74.63
24.10.18,Brazil,BRA,Financial Institutions,Frida,41746,BANCO SANTANDER BRASIL SA,Active,NA,NA,150,NA,150
22.10.18,Romania,ROM,Financial Institutions,Garanti RO SEF,41800,GARANTI BANK SA,Active,NA,NA,62.54,NA,62.54
22.10.18,Mexico,MXC,Financial Institutions,Loan CS MEXCO II,40457,Credit Suisse Opportunity Trust II,Active,NA,NA,102.29,NA,102.29
22.10.18,"Egypt, Arab Republic of",EGT,Infrastructure,Lekela EG Wind 1,40137,LEKELA EGYPT WIND POWER BOO S.A.E,Active,4,NA,99.1,NA,103.1
18.10.18,World Region,WLD,Agribusiness and Forestry,Hayat Kimya,39959,HAYAT KIMYA SANAYI ANONIM SIRKETI,Hold,NA,NA,NA,NA,NA
18.10.18,Brazil,BRA,Financial Institutions,Golden Grass,41734,BANCO BRADESCO S.A.,Active,NA,NA,150,NA,150
15.10.18,Argentina,ARG,Agribusiness and Forestry,SaMi 2018,41438,S.A. SAN MIGUEL A.G.I.C.I. Y F.,Active,NA,NA,27.5,NA,27.5
12.10.18,Indonesia,INS,Financial Institutions,KEB Hana Indonesia Rights Issue IV,42034,"BANK KEB HANA, PT",Active,NA,NA,NA,15.36,15.36
12.10.18,Argentina,ARG,Manufacturing,Ferrum I,41015,FERRUM S.A.,Active,NA,NA,16,NA,16
11.10.18,Kazakhstan,KAZ,Agribusiness and Forestry,Phoenix KZ,40670,"PHOENIX FRUITS, TOO",Pending Approval,NA,NA,10,NA,10
10.10.18,Western Africa Region,WAN,Funds,Verod III,41705,VEROD CAPITAL MANAGEMENT LTD,Active,NA,NA,NA,15,15
01.10.18,Haiti,HAI,Financial Institutions,Ayiti Leasing,41185,SOCIETE ALTERNATIVE DE SOLUTIONS FINANCIERES S.A.,Active,NA,NA,4,NA,4
25.09.18,Philippines,PHL,Financial Institutions,Voyager,40681,"VOYAGER INNOVATIONS, INC.",Active,NA,NA,NA,10,10
21.09.18,Serbia,SRB,Infrastructure,Belgrade Airport,41123,VINCI AIRPORTS SERBIA D.O.O.,Active,NA,NA,113.39,NA,113.39
20.09.18,China,CHA,Financial Institutions,Xiaomi MCC Loan,40334,"CHONGQING XIAOMI MICROFINANCE CO., LTD.",Active,NA,NA,119.31,NA,119.31
20.09.18,MENA Region,EMN,Infrastructure,Yellow Door,39802,YELLOW DOOR ENERGY LIMITED,Active,NA,NA,NA,5,5
17.09.18,India,IND,Infrastructure,Shadowfax,41235,SHADOWFAX TECHNOLOGIES PRIVATE LIMITED,Active,NA,NA,NA,3.86,3.86
11.09.18,Nigeria,NIR,Infrastructure,Kobo360,41760,KOBO360 INC,Active,NA,NA,NA,3,3
06.09.18,Vietnam,VNM,Financial Institutions,OCB Woman Loan,41259,ORIENT COMMERCIAL JOINT STOCK BANK,Active,NA,NA,57.16,NA,57.16
30.08.18,Myanmar,BUA,"Tourism, Retail, and Property",Metro Myanmar,40001,METRO AG,Active,NA,NA,25,NA,25
30.08.18,Tanzania,TAN,Financial Institutions,DCM TMRC Investment,37277,TANZANIA MORTGAGE REFINANCE COMPANY LIMITED,Pending Approval,NA,NA,10,1.5,11.5
30.08.18,South Africa,SOU,Manufacturing,CLN S-Africa II,38988,C.L.N. â€“ COILS LAMIERE NASTRI S.P.A.,Active,NA,NA,55.59,NA,55.59
17.08.18,Mexico,MXC,Financial Institutions,Progresemos V,41306,FINANCIAMIENTO PROGRESEMOS SA DE CV SOFOM ENR,Active,NA,NA,12.44,NA,12.44
16.08.18,Lebanon,LEB,Financial Institutions,WCS Bank Beirut,41344,BANK OF BEIRUT SAL,Pending Approval,NA,NA,100,NA,100
14.08.18,Ethiopia,ETH,Funds,Zoscales I,41435,ZOSCALES PARTNERS PLC,Active,NA,NA,NA,250,250
13.08.18,Uzbekistan,UZB,Financial Institutions,Ipak Yuli WCS,39320,IPAK YULI BANK JSIB,Active,NA,NA,15,NA,15
13.08.18,Argentina,ARG,Health and Education,Hospital Aleman,40682,HOSPITAL ALEMAN ASOCIACION CIVIL,Hold,NA,NA,10,NA,10
10.08.18,Indonesia,INS,Financial Institutions,JV Housing Indo,41368,JV INDOSURYA HOUSING FINANCE INDONESIA,Pending Approval,NA,NA,NA,NA,NA
09.08.18,Ethiopia,ETH,Funds,Cepheus Fund,41432,CEPHEUS GROWTH CAPITAL FUND L.P.,Active,NA,NA,NA,250,250
06.08.18,Lebanon,LEB,Financial Institutions,SGBL SSL MCPP,41500,SOCIETE GENERALE DE BANQUE AU LIBAN SAL,Active,1.5,NA,57.16,NA,58.66
03.08.18,Indonesia,INS,"Tourism, Retail, and Property",Trans Corpora,40677,"TRANS CORPORA, PT",Active,NA,NA,60,NA,60
01.08.18,El Salvador,ESL,Infrastructure,Acajutla LNG,34588,ENERGIA DEL PACIFICO S.A. DE C.V.,Pending Approval,NA,NA,NA,NA,NA
30.07.18,World Region,WLD,other,Capria Fund LLC,41287,Capria Ventures LLC,Active,NA,NA,NA,250,250
30.07.18,Nepal,NEP,Infrastructure,Upper Trishuli-1,35701,NEPAL WATER AND ENERGY DEVELOPMENT CO PVT LTD,Pending Approval,NA,NA,90,14.6,104.6
30.07.18,Mexico,MXC,Financial Institutions,Sabadell Mex,40408,BANCO SABADELL S.A. INSTITUCION DE BANCA MULTIPLE,Active,NA,NA,100,NA,100
25.07.18,India,IND,Agribusiness and Forestry,Srinivasa Farms,41149,SRINIVASA FARMS PRIVATE LIMITED,Active,NA,NA,0,20.69,20.69
23.07.18,Ukraine,UKR,other,Mariupol Buses,40540,CITY OF MARIUPOL,Active,NA,NA,14.32,NA,14.32
23.07.18,Indonesia,INS,Infrastructure,Riau IPP,39879,PT MEDCO RATCH POWER RIAU,Pending Approval,1.5,NA,50,NA,51.5
18.07.18,Turkey,TUR,Financial Institutions,Abank SME,40903,ALTERNATIFBANK ANONIM SIRKETI,Active,NA,NA,80,NA,80
18.07.18,Brazil,BRA,Health and Education,Cruzeiro Growth,41309,CRUZEIRO DO SUL EDUCACIONAL SA,Pending Approval,NA,NA,NA,NA,NA
18.07.18,East Asia and Pacific Region,EAP,Funds,Jungle Fund III,41499,JUNGLE VENTURES III LP,Active,NA,NA,NA,10,10
13.07.18,Colombia,CLM,Infrastructure,ESIP Liftit 2018,41635,LIFTIT S A S,Active,NA,NA,NA,4,4
10.07.18,East Asia and Pacific Region,EAP,Financial Institutions,DARP SPV Altus Regional Facility,41035,DARP Altus Regional Facility,Active,NA,NA,NA,15,15
06.07.18,Romania,ROM,Financial Institutions,BT B3T2 Bond,41084,BANCA TRANSILVANIA SA,Active,NA,NA,145.16,NA,145.16
05.07.18,Brazil,BRA,Financial Institutions,Contabilizei,41536,CONTABILIZEI TECNOLOGIA LTDA.,Active,NA,NA,NA,3.61,3.61
29.06.18,India,IND,Manufacturing,Camlin,39750,CAMLIN FINE SCIENCES LIMITED,Active,NA,NA,30,NA,30
28.06.18,Latin America Region,LAC,Funds,Riverwood III,41148,"RIVERWOOD CAPITAL PARTNERS LATAM, L.P.",Active,NA,NA,NA,15,15
26.06.18,Zambia,ZAM,Financial Institutions,Stanbic Bank Zambia SL,38700,Stanbic Bank (Z) Ltd,Active,NA,NA,36.77,NA,36.77
22.06.18,Thailand,THL,Financial Institutions,Roojai,40653,ROOJAI COMPANY LIMITED,Active,NA,NA,0,7,7
22.06.18,China,CHA,Agribusiness and Forestry,Chenguang Bio,40616,CHENGUANG BIOTECH GROUP CO LTD,Active,NA,NA,40,NA,40
20.06.18,Argentina,ARG,other,Santa Fe Infra,40418,GOVERNMENT OF SANTA FE,Hold,NA,NA,NA,NA,NA
19.06.18,Kenya,KEN,Agribusiness and Forestry,Twiga Foods,41195,Twiga Foods Limited,Active,NA,NA,0,1.5,1.5
13.06.18,Turkey,TUR,Financial Institutions,Garanti Bank DCM Gender Bond,40886,TURKIYE GARANTI BANKASI AS,Active,NA,NA,75,NA,75
06.06.18,Turkey,TUR,Manufacturing,Asas Turkey,38990,ASAS ALUMINYUM SANAYI VE TICARET ANONIM SIRKETI,Pending Approval,NA,NA,NA,NA,NA
05.06.18,China,CHA,Health and Education,China YuHua Education Corporation Limited,40811,CHINA YUHUA EDUCATION CORPORATION LIMITED,Active,NA,NA,75,NA,75
05.06.18,South Africa,SOU,Agribusiness and Forestry,Mbiza Blueberries,40468,UNITED EXPORTS LIMITED,Active,NA,NA,11.58,NA,11.58
05.06.18,Thailand,THL,Financial Institutions,DCM TMB SMEGreen,41118,TMB BANK PUBLIC COMPANY LIMITED,Active,NA,NA,150,NA,150
05.06.18,Nepal,NEP,Financial Institutions,WCS2 GIME Bank,41537,GLOBAL IME BANK LIMITED.,Active,NA,NA,20,NA,20
03.06.18,"Egypt, Arab Republic of",EGT,other,ESIP Vezeeta,40783,DR BRIDGE LLC,Active,NA,NA,NA,1,1
01.06.18,World Region,WLD,Funds,Apis Growth Fund II,41264,APIS PARTNERS LLP,Active,NA,NA,0,25,25
31.05.18,India,IND,Infrastructure,Azure RG,40099,AZURE POWER ROOFTOP (GENCO.) PRIVATE LIMITED,Active,NA,NA,45,NA,45
31.05.18,China,CHA,Infrastructure,Canvest Corporate Loan,40570,CANVEST ENVIRONMENTAL PROTECTION GROUP COMPANY LIMITED,Active,NA,NA,50,NA,50
30.05.18,China,CHA,Funds,Genesis Fund II,41372,"GENESIS CAPITAL II, L.P.",Active,NA,NA,NA,20,20
30.05.18,Zambia,ZAM,other,Twin Palms Mall,39410,TWIN PALM SHOPPING MALL LIMITED,Active,NA,NA,12.8,NA,12.8
29.05.18,India,IND,Manufacturing,Time Technoplast,40768,TIME TECHNOPLAST LIMITED,Active,NA,NA,38.53,NA,38.53
24.05.18,Pakistan,PAK,Manufacturing,Engro Polymer Phase 3,41160,ENGRO POLYMER & CHEMICALS LIMITED,Pending Approval,NA,NA,35,NA,35
24.05.18,Haiti,HAI,Financial Institutions,BUH Haiti,39665,BANQUE DE L'UNION HAITIENNE S.A.,Hold,NA,NA,5,NA,5
17.05.18,Sri Lanka,SRI,Infrastructure,Fairway WtE,40216,FAIRWAY WASTE MANAGEMENT (PVT) LTD,Pending Approval,NA,NA,7,NA,7
17.05.18,Bangladesh,BAN,"Tourism, Retail, and Property",Ananta Mixed Use,39231,ANANTA HOTELS AND RESORTS LIMITED,Pending Approval,NA,NA,NA,NA,NA
16.05.18,Sri Lanka,SRI,Financial Institutions,NDB Agri Loan,41285,NATIONAL DEVELOPMENT BANK PLC,Active,NA,NA,NA,NA,NA
16.05.18,Ecuador,ECU,Financial Institutions,Produbanco Loan,40592,Banco de la Produccion S.A.,Active,NA,NA,80,NA,80
16.05.18,Cote d'Ivoire,IVC,Financial Institutions,DCM ABI Bond,40243,ATLANTIC BUSINESS INTERNATIONAL,Pending Approval,NA,NA,116.79,NA,116.79
16.05.18,Western Africa Region,WAN,Financial Institutions,ABI SME RSF,41251,ABI Group RSF,Pending Approval,NA,46.72,NA,NA,46.72
16.05.18,Western Africa Region,WAN,Financial Institutions,ABI AGRI RSF,41465,ABI Group RSF,Pending Approval,NA,46.72,NA,NA,46.72
16.05.18,India,IND,Financial Institutions,HDB Financial Services,40789,HDB FINANCIAL SERVICES LIMITED,Active,NA,NA,144.5,NA,144.5
14.05.18,Malawi,MAL,Agribusiness and Forestry,Global Tea,38327,GLOBAL TEA AND COMMODITIES LTD,Active,NA,NA,4,NA,4
14.05.18,China,CHA,Health and Education,China EDU Group,40453,CHINA EDUCATION GROUP HOLDINGS LIMITED,Active,NA,NA,45,30,75
14.05.18,Ethiopia,ETH,Manufacturing,Juniper Glass,36680,JUNIPER GLASS INDUSTRIES SC,Pending Approval,NA,NA,20,NA,20
11.05.18,Sri Lanka,SRI,Financial Institutions,Central Fin Agri,41293,CENTRAL FINANCE COMPANY PLC,Active,NA,NA,NA,NA,NA
08.05.18,Iraq,IRQ,other,Magma Square,37642,MALIA INVEST HOLDING SAL,Active,NA,NA,6,NA,6
08.05.18,India,IND,Financial Institutions,DARP SPV EARC,40559,ENCORE ASSET RECONSTRUCTION COMPANY,Pending Approval,NA,NA,50.16,NA,50.16
08.05.18,South Africa,SOU,Financial Institutions,BPL Sr Loan,40920,BUSINESS PARTNERS LIMITED,Active,NA,NA,45.75,NA,45.75
07.05.18,Myanmar,BUA,Financial Institutions,KHMF Equity&Loan,40355,KEB HANA MICROFINANCE LIMITED,Active,NA,NA,10,3,13
07.05.18,India,IND,Financial Institutions,Arohan Fin,41105,AROHAN FINANCIAL SERVICES PRIVATE LIMITED,Active,NA,NA,14.67,NA,14.67
04.05.18,Sri Lanka,SRI,Financial Institutions,Alliance Loan,41271,ALLIANCE FINANCE COMPANY PLC,Active,0.1,NA,8,NA,8.1
03.05.18,World Region,WLD,Agribusiness and Forestry,Olam Smallholder Crop Financing,40675,OLAM INTERNATIONAL LIMITED,Pending Approval,NA,NA,NA,NA,NA
02.05.18,Cambodia,KAM,Financial Institutions,DCM HKL LCY Bond,41223,HATTHA KAKSEKAR LIMITED,Active,NA,NA,20,NA,20
01.05.18,India,IND,Financial Institutions,HFCII_Aptus,40814,APTUS VALUE HOUSING FINANCE INDIA LIMITED,Active,NA,NA,15.51,NA,15.51
30.04.18,World Region,WLD,Financial Institutions,DCM SCB CVA,39507,RSF Standard Chartered CVA,Pending Approval,NA,NA,NA,NA,NA
30.04.18,Ukraine,UKR,Agribusiness and Forestry,Agrofusion CL,41217,FE INTEGRATED AGROSYSTEMS,Active,NA,NA,17,NA,17
27.04.18,India,IND,Infrastructure,Lithium,40171,LITHIUM URBAN TECHNOLOGIES PVT LTD,Active,NA,NA,NA,7.83,7.83
27.04.18,Tunisia,TUN,Financial Institutions,Attijari Tunisie,41167,BANQUE ATTIJARI DE TUNISIE,Active,NA,NA,46.72,NA,46.72
27.04.18,Cambodia,KAM,Financial Institutions,Amret Senior 18,41294,AMRET PLC,Active,NA,NA,10,NA,10
27.04.18,Indonesia,INS,other,SSIA Ind Est,38964,PT. SURYA SEMESTA INTERNUSA TBK.,Active,NA,NA,57.15,NA,57.15
27.04.18,Mexico,MXC,Health and Education,Clinicas del Azucar Expansion 2017,40669,"CLINICA DEL AZUCAR, S.A.P.I. DE C.V.",Active,NA,NA,NA,4,4
27.04.18,Paraguay,PAR,Agribusiness and Forestry,Agrotec III,40605,AGRIHOLD MANAGEMENT CORP,Active,NA,NA,105,NA,105
27.04.18,Brazil,BRA,Agribusiness and Forestry,Bauducco Growth,40796,Pandurata Alimentos Ltda.,Active,NA,NA,25,NA,25
26.04.18,World Region,WLD,Financial Institutions,GTLP Citi IV,40688,CITIBANK N.A.,Active,NA,NA,600,NA,600
25.04.18,World Region,WLD,Infrastructure,IFC - GIPDF 3,41446,IFC-CIN CLIENTS,Pending Approval,NA,NA,150,NA,150
25.04.18,Kenya,KEN,Manufacturing,Mombasa Gas Terminal Ltd,38907,MOMBASA GAS TERMINAL LTD.,Pending Approval,NA,NA,NA,NA,NA
25.04.18,Indonesia,INS,Infrastructure,PT Bajradaya Sentranusa,40507,"BAJRADAYA SENTRANUSA, PT",Pending Approval,NA,NA,75,7.5,82.5
24.04.18,Vietnam,VNM,Financial Institutions,TPB Senior Loan,41043,TIEN PHONG COMMERCIAL JOINT STOCK BANK,Active,NA,NA,60,NA,60
24.04.18,Colombia,CLM,other,LLP Colombia,40982,LATAM LOGISTIC COL PROPCO COTA 1 S A S,Hold,NA,NA,29.93,NA,29.93
23.04.18,Sri Lanka,SRI,Infrastructure,PickMe,41053,DIGITAL MOBILITY SOLUTIONS LANKA (PRIVATE) LIMITED,Active,NA,NA,NA,2.44,2.44
23.04.18,Cote d'Ivoire,IVC,Financial Institutions,SIB SME RSF II,41091,SIB SME RSF II,Active,NA,17.8,NA,NA,17.8
20.04.18,Bangladesh,BAN,Manufacturing,Omera LPG,40464,OMERA PETROLEUM LIMITED,Active,NA,NA,20,NA,20
20.04.18,Senegal,SEN,Agribusiness and Forestry,Sosagrin-IBS,40131,SOSAGRIN-IBS,Pending Approval,NA,NA,11.68,NA,11.68
19.04.18,Philippines,PHL,Health and Education,Fullerton Health,40383,FULLERTON HEALTHCARE CORPORATION LIMITED,Active,NA,NA,40,NA,40
19.04.18,Lebanon,LEB,Financial Institutions,CL SSL MCPP,41060,CREDIT LIBANAIS SAL,Active,1,NA,50,NA,51
19.04.18,Georgia,GEO,Financial Institutions,PCG Housing,40961,ProCredit Bank JSC,Pending Approval,NA,NA,NA,NA,NA
16.04.18,Pakistan,PAK,Financial Institutions,Pakistan MRCL,39604,PAKISTAN MORTGAGE REFINANCE COMPANY LIMITED,Pending Approval,NA,NA,NA,NA,NA
13.04.18,India,IND,Manufacturing,Craftsman III,40781,CRAFTSMAN AUTOMATION LIMITED,Active,NA,NA,30,NA,30
12.04.18,Mali,MLI,Agribusiness and Forestry,Gaselia Group,40016,GASELIA INDUSTRIES GROUP S.A.,Active,NA,NA,15.18,NA,15.18
11.04.18,Bangladesh,BAN,Agribusiness and Forestry,PRAN Agro Business Ltd,40929,PRAN AGRO BUSINESS LIMITED,Active,NA,NA,48.93,NA,48.93
11.04.18,Myanmar,BUA,"Tourism, Retail, and Property",FCS Sanctum,39505,"SANCTUM INLE RESORT CO., LTD.",Active,NA,NA,6,NA,6
11.04.18,Brazil,BRA,Agribusiness and Forestry,Sao Manoel,40264,USINA ACUCAREIRA S. MANOEL S.A,Active,NA,NA,NA,NA,NA
06.04.18,Burundi,BUI,Agribusiness and Forestry,Prothem,40902,PROTHEM USINE S.A.,Pending Approval,NA,NA,NA,NA,NA
06.04.18,Mauritania,MTA,Financial Institutions,GTST Mauritania 2018,41069,ADDAX ENERGY SA,Active,NA,NA,40,NA,40
06.04.18,Angola,ANG,"Tourism, Retail, and Property",Hilton Talatona,40181,"ALIANCA GLOBAL HOTEL PROPERTY - HOTELARIA, LDA.",Pending Approval,NA,NA,10,NA,10
04.04.18,Bangladesh,BAN,Manufacturing,Esquire Knit Composite Limited,40683,ESQUIRE KNIT COMPOSITE LIMITED,Pending Approval,NA,NA,22,NA,22
02.04.18,Nigeria,NIR,other,Lagos City Infra,40065,LAGOS STATE GOVERNMENT,Hold,NA,NA,50,NA,50
02.04.18,Eastern Europe Region,EER,Financial Institutions,DARP APS 2,38692,APS INVESTMENTS SARL,Active,NA,NA,116.79,7.88,124.67
02.04.18,Nepal,NEP,Financial Institutions,WCS NMB Nepal,41302,NMB BANK LIMITED,Active,NA,NA,15,NA,15
02.04.18,Romania,ROM,other,GREI Bond,41142,GLOBALWORTH REAL ESTATE INVESTMENTS LIMITED,Active,NA,NA,61.09,NA,61.09
30.03.18,Tunisia,TUN,Financial Institutions,TL Senior Loan,41124,TUNISIE LEASING AND FACTORING,Hold,NA,NA,NA,NA,NA
30.03.18,Kenya,KEN,Manufacturing,National Cement Company,40496,NATIONAL CEMENT COMPANY LIMITED,Active,NA,NA,25,3.5,28.5
29.03.18,Kenya,KEN,Health and Education,UCL Pharma,39904,UNIVERSAL CORPORATION LTD,Pending Approval,NA,NA,10,NA,10
26.03.18,Myanmar,BUA,Infrastructure,Kerry Myanmar,39743,KM TERMINAL AND LOGISTICS LIMITED,Active,NA,NA,15,NA,15
26.03.18,India,IND,Financial Institutions,DARP SPV IndiaRF,40569,INDIA RESURGENCE FUND LP,Active,NA,NA,100,100,200
23.03.18,Argentina,ARG,Financial Institutions,Itau Arg CL,40916,BANCO ITAU ARGENTINA S.A.,Active,NA,NA,50,NA,50
23.03.18,Madagascar,MAG,Agribusiness and Forestry,FCS RE Madagascar Foods,38491,HABIBO INDUSTRIES,Pending Approval,NA,NA,8.63,NA,8.63
22.03.18,Argentina,ARG,Financial Institutions,DCM Gaucho GB,41090,BANCO DE GALICIA Y BUENOS AIRES S.A.,Active,NA,NA,100,NA,100
21.03.18,Nigeria,NIR,Manufacturing,Eleme Fertilizer II,40420,INDORAMA ELEME FERTILIZER AND CHEMICALS LTD,Active,NA,NA,120,NA,120
20.03.18,Madagascar,MAG,Agribusiness and Forestry,BOVIMA,38036,BOVIMA CENTER,Active,NA,NA,3.5,NA,3.5
20.03.18,"Egypt, Arab Republic of",EGT,Manufacturing,EFC Egypt II,41098,EGYPTIAN FERTILIZERS CO. S.A.E,Active,NA,NA,57.15,NA,57.15
20.03.18,Mexico,MXC,Funds,"Alta Growth Capital, Mexico Fund III, L.P.",40809,"ALTA GROWTH CAPITAL, MEXICO FUND III, L.P.",Active,NA,NA,NA,15,15
16.03.18,Mexico,MXC,Financial Institutions,Altum Capital,40637,"ALTUM CP, S.A.P.I. DE C.V. SOFOM E.N.R.",Active,NA,NA,50.8,NA,50.8
16.03.18,Dominican Republic,DOM,Financial Institutions,BHDL III,40922,BANCO MULTIPLE BHD LEON SA,Pending Approval,NA,NA,NA,NA,NA
15.03.18,Ghana,GHA,Financial Institutions,CAL Bank II,41047,CAL BANK LIMITED,Active,NA,NA,50,NA,50
14.03.18,Brazil,BRA,Infrastructure,Gas Natural Acu,40314,UTE GNA I GERACAO DE ENERGIA S.A.,Active,NA,NA,288,NA,288
13.03.18,Greece,GRE,Financial Institutions,DARP Intrum,40344,DARP SPV Intrum,Hold,NA,NA,90.72,NA,90.72
09.03.18,Kenya,KEN,Health and Education,Trivitron Africa,39552,TRIVITRON HEALTHCARE AFRICA B.V.,Pending Approval,NA,NA,2.75,NA,2.75
09.03.18,Romania,ROM,other,NEPI Bond,38149,NE PROPERTY B.V.,Active,NA,NA,55.71,NA,55.71
05.03.18,Argentina,ARG,Financial Institutions,BIND CL,40429,BANCO INDUSTRIAL S.A.,Active,NA,NA,55,NA,55
01.03.18,Bangladesh,BAN,Financial Institutions,DBL Syndication,41076,DHAKA BANK LTD.,Active,NA,NA,10,NA,10
28.02.18,Bangladesh,BAN,Financial Institutions,ONE Bank Debt,39532,ONE BANK LIMITED,Active,NA,NA,50,NA,50
28.02.18,Bangladesh,BAN,Financial Institutions,Bank Asia-Green,41088,BANK ASIA LTD,Active,NA,NA,40,NA,40
28.02.18,Bangladesh,BAN,Financial Institutions,WCSS Pubali Bank,37955,PUBALI BANK LIMITED,Active,NA,NA,100,NA,100
27.02.18,Bangladesh,BAN,Financial Institutions,RSF HSBC BD,40874,RSF HSBC Bangladesh,Pending Approval,NA,NA,NA,NA,NA
26.02.18,Bangladesh,BAN,Financial Institutions,IDLC Finance,38777,IDLC Finance Limited,Active,NA,NA,NA,NA,NA
26.02.18,Kenya,KEN,Financial Institutions,Co-op Bank III,41133,THE CO-OPERATIVE BANK OF KENYA LIMITED,Active,NA,NA,150,NA,150
23.02.18,Myanmar,BUA,Funds,"Anthem Asia Myanmar SME Venture Fund, L.P.",40253,"ANTHEM ASIA MYANMAR SME VENTURE FUND, L.P.",Active,NA,NA,NA,250,250
23.02.18,Kenya,KEN,Health and Education,Project Hippo,38280,HOSPITAL HOLDINGS INVESTMENT B.V.,Active,NA,NA,5,22,27
